dtheta, xerr, yerr, zerr
-2,0,0,6.042
-2,-0.488,-0.005,6.008
-2,-0.965,-0.02,5.907
-2,-1.418,-0.044,5.745
-2,-1.837,-0.073,5.53
-2,-2.216,-0.104,5.273
-2,-2.548,-0.135,4.987
-2,-2.829,-0.161,4.684
-2,-3.06,-0.18,4.376
-2,-3.238,-0.19,4.075
-2,-3.367,-0.189,3.789
-1,0,0,3.038
-1,-0.244,-0.003,3.021
-1,-0.482,-0.01,2.97
-1,-0.709,-0.022,2.889
-1,-0.918,-0.036,2.78
-1,-1.107,-0.051,2.651
-1,-1.272,-0.067,2.507
-1,-1.413,-0.079,2.355
-1,-1.527,-0.089,2.201
-1,-1.615,-0.093,2.049
-1,-1.678,-0.092,1.906
1,0,0,-3.07
1,0.244,0.003,-3.052
1,0.482,0.01,-3.001
1,0.707,0.021,-2.919
1,0.916,0.035,-2.809
1,1.104,0.05,-2.679
1,1.268,0.065,-2.534
1,1.407,0.077,-2.38
1,1.519,0.086,-2.224
1,1.606,0.09,-2.072
1,1.667,0.089,-1.927
2,0,0,-6.168
2,0.487,0.005,-6.133
2,0.962,0.02,-6.03
2,1.413,0.042,-5.864
2,1.83,0.07,-5.645
2,2.205,0.099,-5.383
2,2.532,0.128,-5.092
2,2.807,0.152,-4.783
2,3.03,0.169,-4.471
2,3.201,0.177,-4.165
2,3.32,0.174,-3.875
