theta, z
-60,63.05
-59,62.576
-58,62.082
-57,61.569
-56,61.036
-55,60.483
-54,59.91
-53,59.317
-52,58.705
-51,58.072
-50,57.42
-49,56.747
-48,56.055
-47,55.342
-46,54.609
-45,53.856
-44,53.083
-43,52.289
-42,51.476
-41,50.642
-40,49.788
-39,48.913
-38,48.019
-37,47.104
-36,46.169
-35,45.214
-34,44.238
-33,43.243
-32,42.227
-31,41.192
-30,40.136
-29,39.061
-28,37.966
-27,36.852
-26,35.717
-25,34.564
-24,33.391
-23,32.199
-22,30.988
-21,29.758
-20,28.509
-19,27.242
-18,25.956
-17,24.653
-16,23.331
-15,21.992
-14,20.636
-13,19.263
-12,17.872
-11,16.466
-10,15.043
-9,13.604
-8,12.149
-7,10.68
-6,9.195
-5,7.696
-4,6.184
-3,4.657
-2,3.117
-1,1.565
0,0
1,-1.577
2,-3.165
3,-4.763
4,-6.373
5,-7.992
6,-9.62
7,-11.257
8,-12.902
9,-14.554
10,-16.214
11,-17.88
12,-19.552
13,-21.229
14,-22.91
15,-24.595
16,-26.283
17,-27.974
18,-29.667
19,-31.361
20,-33.055
21,-34.749
22,-36.442
23,-38.133
24,-39.822
25,-41.508
26,-43.189
27,-44.867
28,-46.539
29,-48.205
30,-49.864
31,-51.515
32,-53.158
33,-54.792
34,-56.417
35,-58.03
36,-59.633
37,-61.223
38,-62.8
39,-64.364
40,-65.914
41,-67.449
42,-68.968
43,-70.47
44,-71.956
45,-73.423
46,-74.872
47,-76.302
48,-77.711
49,-79.1
50,-80.468
51,-81.814
52,-83.137
53,-84.437
54,-85.713
55,-86.965
56,-88.191
57,-89.392
58,-90.566
59,-91.714
60,-92.834
